cms_team_id,cms_league_id,cms_team_name,polymarket_team_id,polymarket_league_id,polymarket_team_name,polymarket_team_slug,status,notes
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148723,13,FC Petrocub Hînceşti,pet1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148310,13,FC Porto,por1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148697,13,FC Prishtina,fcp1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148314,13,FC Red Bull Salzburg,rbs1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148316,13,FC Santa Coloma,fsc1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148257,13,FC Schalke 04,s041,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148500,13,FC Sheriff Tiraspol,she2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148731,13,FC Shkupi,shk3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148502,13,FC Spartak Trnava,trn1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148801,13,FC Struga Trim & Lum,stl1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148803,13,FC Swift Hesper,hes1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148449,13,FC Twente '65,twe1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148654,13,FC Viitorul Constanţa,vii1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148320,13,FC Viktoria Plzeň,plz1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148504,13,FC Zürich,fcz1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148303,13,FCI Levadia,lev3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148687,13,FCI Tallinn,tali1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148318,13,FCSB,ste1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148799,13,FCV Farul Constanţa,far1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148426,13,Fehérvár FC,vid1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148324,13,Fenerbahçe SK,fen1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148506,13,Ferencvárosi TC,ftc1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148451,13,Feyenoord Rotterdam,fey1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148508,13,FH Hafnarfjörður,fhh1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148334,13,FK BATE Barysaŭ,bat2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148773,13,FK Bodø/Glimt,bog1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148771,13,FK Borac Banja Luka,bor1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148510,13,FK Budućnost Podgorica,bud1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148512,13,FK Crvena zvezda,crv1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148815,13,FK Dečić Tuzi,dec1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148703,13,FK Dynama-Brest,bre3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148518,13,FK Dynama-Minsk,din5,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148336,13,FK Dynamo Kyiv,dyn1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148522,13,FK Krasnodar,kra1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148524,13,FK Kukësi,kuk1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148637,13,FK Liepāja,lie1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148527,13,FK Lokomotiv Moskva,lok2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148811,13,FK Panevėžys,pan1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148339,13,FK Partizan Beograd,par2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148535,13,FK Partizani,par3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148629,13,FK Rostov,ros1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148341,13,FK Rudar Pljevlja,rud1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148753,13,FK Rīgas Futbola Skola,rfs1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148343,13,FK Sarajevo,sar1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148345,13,FK Shakhtar Donetsk,shd1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148683,13,FK Sileks,sil1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148633,13,FK Spartak Moskva,spa3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148540,13,FK Spartaks Jūrmala,spa2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148542,13,FK Sutjeska Nikšić,sut1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148656,13,FK Sūduva Marijampolė,sud1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148777,13,FK TSC Bačka Topola,tsc1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148347,13,FK Vardar Skopje,var1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148349,13,FK Ventspils,ven1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148351,13,FK Zenit,zen1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148537,13,FK Šachcior Salihorsk,sol1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148322,13,FK Žalgiris Vilnius,zal1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148707,13,Floriana FC,flo3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148353,13,Galatasaray SK,gal1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148717,13,Girona FC,gir1,unmapped,same club as LAL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148660,13,GKS Piast Gliwice,pia1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148357,13,GNK Dinamo Zagreb,din3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148546,13,HB,hb1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148361,13,Helsingin JK,hjk1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148359,13,Hibernians FC,hib1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148548,13,HNK Rijeka,rij1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148550,13,HŠK Zrinjski Mostar,zri1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148664,13,IFK Mariehamn,mar3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148639,13,IFK Norrköping FK,nor1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148767,13,Inter Club d'Escaldes,int3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148554,13,Jagiellonia Białystok,jag1,unmapped,
